(1,'47 MySakila Drive',NULL,'Alberta',300,DEFAULT,DEFAULT,'2014-09-25 22:30:27'),
(493,'184 Mandaluyong Street',DEFAULT,'Baja California Sur',288,94239,488425406814,'2014-09-25 22:32:09'),
(494,'591 Sungai Petani Drive',DEFAULT,'Okayama',376,46400,37247325001,'2014-09-25 22:31:51'),
(495,'656 Matamoros Drive',DEFAULT,'Boyac',487,19489,17305839123,'2014-09-25 22:30:53'),
(496,'775 ostka Drive',DEFAULT,'al-Daqahliya',337,22358,171973024401,'2014-09-25 22:30:57'),
(497,'1013 Tabuk Boulevard',DEFAULT,'West Bengali',261,96203,158399646978,'2014-09-25 22:31:19'),
(498,'319 Plock Parkway',DEFAULT,'Istanbul',504,26101,854259976812,'2014-09-25 22:33:28'),
(499,'1954 Kowloon and New Kowloon Way',DEFAULT,'Chimborazo',434,63667,898559280434,'2014-09-25 22:30:56'),
(500,'362 Rajkot Lane',DEFAULT,'Gansu',47,98030,962020153680,'2014-09-25 22:30:31'),
(501,'1060 Tandil Lane',DEFAULT,'Shandong',432,72349,211256301880,'2014-09-25 22:30:41'),
(502,'1515 Korla Way',DEFAULT,'England',589,57197,959467760895,'2014-09-25 22:33:42'),
(503,'1416 San Juan Bautista Tuxtepec Avenue',DEFAULT,'Zufar',444,50592,144206758053,'2014-09-25 22:32:29'),
(504,'1 Valle de Santiago Avenue',DEFAULT,'Apulia',93,86208,465897838272,'2014-09-25 22:31:43'),
(505,'519 Brescia Parkway',DEFAULT,'East Java',318,69504,793996678771,'2014-09-25 22:31:33'),
(506,'414 Mandaluyong Street',DEFAULT,'Lubelskie',314,16370,52709222667,'2014-09-25 22:32:43'),
(507,'1197 Sokoto Boulevard',DEFAULT,'West Bengali',478,87687,868602816371,'2014-09-25 22:31:27'),
(508,'496 Celaya Drive',DEFAULT,'Nagano',552,90797,759586584889,'2014-09-25 22:31:54'),
(509,'786 Matsue Way',DEFAULT,'Illinois',245,37469,111177206479,'2014-09-25 22:33:54'),
(510,'48 Maracabo Place',DEFAULT,'Central Luzon',519,1570,82671830126,'2014-09-25 22:32:39'),
(511,'1152 al-Qatif Lane',DEFAULT,'Kalimantan Barat',412,44816,131370665218,'2014-09-25 22:31:34'),
(512,'1269 Ipoh Avenue',DEFAULT,'Eskisehir',163,54674,402630109080,'2014-09-25 22:33:24'),
(513,'758 Korolev Parkway',DEFAULT,'Andhra Pradesh',568,75474,441628280920,'2014-09-25 22:31:29'),
(514,'1747 Rustenburg Place',DEFAULT,'Bihar',110,51369,442673923363,'2014-09-25 22:31:14'),
(515,'886 Tonghae Place',DEFAULT,'Volgograd',259,19450,711928348157,'2014-09-25 22:32:50'),
(516,'1574 Goinia Boulevard',DEFAULT,'Heilongjiang',502,39529,59634255214,'2014-09-25 22:30:43'),
(517,'548 Uruapan Street',DEFAULT,'Ontario',312,35653,879347453467,'2014-09-25 22:33:38'),
(519,'962 Tama Loop',DEFAULT,'DEFAULT',583,65952,282667506728,'2014-09-25 22:32:19'),
(520,'1778 Gijn Manor',DEFAULT,'Hubei',594,35156,288910576761,'2014-09-25 22:30:50'),
(521,'568 Dhule (Dhulia), Loop',DEFAULT,'Coquimbo',127,92568,602101369463,'2014-09-25 22:30:30'),
(522,'1768 Udine Loop',DEFAULT,'Battambang',60,32347,448876499197,'2014-09-25 22:30:24'),
(523,'608 Birgunj Parkway',DEFAULT,'Taipei',116,400,627425618482,'2014-09-25 22:33:14'),
(524,'680 A Corua (La Corua), Manor',DEFAULT,'Sivas',482,49806,158326114853,'2014-09-25 22:33:28'),
(525,'1949 Sanya Street',DEFAULT,'Gumma',224,61244,132100972047,'2014-09-25 22:31:47'),
(526,'617 Klerksdorp Place',DEFAULT,'Khanh Hoa',366,94707,574973479129,'2014-09-25 22:34:07'),
(527,'1993 0 Loop',DEFAULT,'Liaoning',588,41214,25865528181,'2014-09-25 22:30:49'),
(528,'1176 Southend-on-Sea Manor',DEFAULT,'Southern Tagalog',458,81651,236679267178,'2014-09-25 22:32:39'),
(529,'600 Purnea (Purnia), Avenue',DEFAULT,'Nghe An',571,18043,638409958875,'2014-09-25 22:34:07'),
(530,'1003 Qinhuangdao Street',DEFAULT,'West Java',419,25972,35533115997,'2014-09-25 22:31:35'),
(531,'1986 Sivas Place',DEFAULT,'Friuli-Venezia Giuli',551,95775,182059202712,'2014-09-25 22:31:44'),
(532,'1427 Tabuk Place',DEFAULT,'Florida',101,31342,214756839122,'2014-09-25 22:33:47'),
(533,'556 Asuncin Way',DEFAULT,'Mogiljov',339,35364,338244023543,'2014-09-25 22:30:13'),
(534,'486 Ondo Parkway',DEFAULT,'Benguela',67,35202,105882218332,'2014-09-25 22:30:02'),
(535,'635 Brest Manor',DEFAULT,'Andhra Pradesh',75,40899,80593242951,'2014-09-25 22:31:13'),
(536,'166 Jinchang Street',DEFAULT,'Buenos Aires',165,86760,717566026669,'2014-09-25 22:30:05'),
(537,'958 Sagamihara Lane',DEFAULT,'Mie',287,88408,427274926505,'2014-09-25 22:31:50'),
(538,'1817 Livorno Way',DEFAULT,'Khanh Hoa',100,79401,478380208348,'2014-09-25 22:34:05'),
(539,'1332 Gaziantep Lane',DEFAULT,'Shandong',80,22813,383353187467,'2014-09-25 22:30:31'),
(540,'949 Allende Lane',DEFAULT,'Uttar Pradesh',24,67521,122981120653,'2014-09-25 22:31:11'),
(541,'195 Ilorin Street',DEFAULT,'Chari-Baguirmi',363,49250,8912935608,'2014-09-25 22:30:29'),
(542,'193 Bhusawal Place',DEFAULT,'Kang-won',539,9750,745267607502,'2014-09-25 22:33:07'),
(543,'43 Vilnius Manor',DEFAULT,'Colorado',42,79814,484500282381,'2014-09-25 22:33:44'),
(544,'183 Haiphong Street',DEFAULT,'Jilin',46,69953,488600270038,'2014-09-25 22:30:30'),
(545,'163 Augusta-Richmond County Loop',DEFAULT,'Carabobo',561,33030,754579047924,'2014-09-25 22:34:05'),
(546,'191 Jos Azueta Parkway',DEFAULT,'Ruse',436,13629,932156667696,'2014-09-25 22:30:23'),
(547,'379 Lublin Parkway',DEFAULT,'Toscana',309,74568,921960450089,'2014-09-25 22:31:44'),
(548,'1658 Cuman Loop',DEFAULT,'Sumatera Selatan',396,51309,784907335610,'2014-09-25 22:31:34'),
(549,'454 Qinhuangdao Drive',DEFAULT,'Tadla-Azilal',68,25866,786270036240,'2014-09-25 22:32:16'),
(550,'1715 Okayama Street',DEFAULT,'So Paulo',485,55676,169352919175,'2014-09-25 22:30:22'),
(551,'182 Nukualofa Drive',DEFAULT,'Sumy',275,15414,426346224043,'2014-09-25 22:33:32'),
(552,'390 Wroclaw Way',DEFAULT,'Hainan',462,5753,357593328658,'2014-09-25 22:30:41'),
(553,'1421 Quilmes Lane',DEFAULT,'Ishikawa',260,19151,135407755975,'2014-09-25 22:31:49'),
(554,'947 Trshavn Place',DEFAULT,'Central Luzon',528,841,50898428626,'2014-09-25 22:32:40'),
(555,'1764 Jalib al-Shuyukh Parkway',DEFAULT,'Galicia',459,77642,84794532510,'2014-09-25 22:33:10'),
(556,'346 Cam Ranh Avenue',DEFAULT,'Zhejiang',599,39976,978430786151,'2014-09-25 22:30:51'),
(557,'1407 Pachuca de Soto Place',DEFAULT,'Rio Grande do Sul',21,26284,380077794770,'2014-09-25 22:30:14'),
(558,'904 Clarksville Drive',DEFAULT,'Zhejiang',193,52234,955349440539,'2014-09-25 22:30:34'),
(559,'1917 Kumbakonam Parkway',DEFAULT,'Vojvodina',368,11892,698182547686,'2014-09-25 22:34:11'),
(560,'1447 Imus Place',DEFAULT,'Gujarat',426,12905,62127829280,'2014-09-25 22:31:25'),
(561,'1497 Fengshan Drive',DEFAULT,'KwaZulu-Natal',112,63022,368738360376,'2014-09-25 22:33:03'),
(562,'869 Shikarpur Way',DEFAULT,'England',496,57380,590764256785,'2014-09-25 22:33:40'),
(563,'1059 Yuncheng Avenue',DEFAULT,'Vilna',570,47498,107092893983,'2014-09-25 22:31:58'),
(564,'505 Madiun Boulevard',DEFAULT,'Dolnoslaskie',577,97271,970638808606,'2014-09-25 22:32:44'),
(565,'1741 Hoshiarpur Boulevard',DEFAULT,'al-Sharqiya',79,22372,855066328617,'2014-09-25 22:30:56'),
(566,'1229 Varanasi (Benares), Manor',DEFAULT,'Buenos Aires',43,40195,817740355461,'2014-09-25 22:30:04'),
(567,'1894 Boa Vista Way',DEFAULT,'Texas',178,77464,239357986667,'2014-09-25 22:33:51'),
(568,'1342 Sharja Way',DEFAULT,'Sokoto & Kebbi & Zam',488,93655,946114054231,'2014-09-25 22:32:27'),
(569,'1342 Abha Boulevard',DEFAULT,'Bukarest',95,10714,997453607116,'2014-09-25 22:32:46'),
(570,'415 Pune Avenue',DEFAULT,'Shandong',580,44274,203202500108,'2014-09-25 22:30:47'),
(571,'1746 Faaa Way',DEFAULT,'Huanuco',214,32515,863080561151,'2014-09-25 22:32:33'),
(572,'539 Hami Way',DEFAULT,'Tokat',538,52196,525518075499,'2014-09-25 22:33:29'),
(573,'1407 Surakarta Manor',DEFAULT,'Moskova',466,33224,324346485054,'2014-09-25 22:32:56'),
(574,'502 Mandi Bahauddin Parkway',DEFAULT,'Anzotegui',55,15992,618156722572,'2014-09-25 22:34:03'),
(575,'1052 Pathankot Avenue',DEFAULT,'Sichuan',299,77397,128499386727,'2014-09-25 22:30:39'),
(576,'1351 Sousse Lane',DEFAULT,'Coahuila de Zaragoza',341,37815,203804046132,'2014-09-25 22:32:10'),
(577,'1501 Pangkal Pinang Avenue',DEFAULT,'Mazowieckie',409,943,770864062795,'2014-09-25 22:32:43'),
(578,'1405 Hagonoy Avenue',DEFAULT,'Slaskie',133,86587,867287719310,'2014-09-25 22:32:42'),
(579,'521 San Juan Bautista Tuxtepec Place',DEFAULT,'Qaraghandy',598,95093,844018348565,'2014-09-25 22:31:56'),
(580,'923 Tangail Boulevard',DEFAULT,'Tokyo-to',10,33384,315528269898,'2014-09-25 22:31:45'),
(581,'186 Skikda Lane',DEFAULT,'Morelos',131,89422,14465669789,'2014-09-25 22:32:05'),
(582,'1568 Celaya Parkway',DEFAULT,'Kaohsiung',168,34750,278669994384,'2014-09-25 22:33:15'),
(583,'1489 Kakamigahara Lane',DEFAULT,'Taipei',526,98883,29341849811,'2014-09-25 22:33:16'),
(584,'1819 Alessandria Loop',DEFAULT,'Campeche',103,53829,377633994405,'2014-09-25 22:32:02'),
(585,'1208 Tama Loop',DEFAULT,'Ninawa',344,73605,954786054144,'2014-09-25 22:31:40'),
(586,'951 Springs Lane',DEFAULT,'Central Mindanao',219,96115,165164761435,'2014-09-25 22:32:37'),
(587,'760 Miyakonojo Drive',DEFAULT,'Guerrero',246,64682,294449058179,'2014-09-25 22:32:08'),
(588,'966 Asuncin Way',DEFAULT,'Hidalgo',212,62703,995527378381,'2014-09-25 22:32:07'),
(589,'1584 Ljubertsy Lane',DEFAULT,'England',494,22954,285710089439,'2014-09-25 22:33:38'),
(590,'247 Jining Parkway',DEFAULT,'Banjul',54,53446,170115379190,'2014-09-25 22:31:04'),
(591,'773 Dallas Manor',DEFAULT,'Buenos Aires',424,12664,914466027044,'2014-09-25 22:30:06'),
(592,'1923 Stara Zagora Lane',DEFAULT,'Nantou',546,95179,182178609211,'2014-09-25 22:33:17'),
(593,'1402 Zanzibar Boulevard',DEFAULT,'Guanajuato',106,71102,387448063440,'2014-09-25 22:32:03'),
(594,'1464 Kursk Parkway',DEFAULT,'Shandong',574,17381,338758048786,'2014-09-25 22:30:44'),
(595,'1074 Sanaa Parkway',DEFAULT,'Loja',311,22474,154124128457,'2014-09-25 22:30:55'),
(596,'1759 Niznekamsk Avenue',DEFAULT,'al-Manama',14,39414,864392582257,'2014-09-25 22:30:11'),
(597,'32 Liaocheng Way',DEFAULT,'Minas Gerais',248,1944,410877354933,'2014-09-25 22:30:19'),
(598,'42 Fontana Avenue',DEFAULT,'Fejr',512,14684,437829801725,'2014-09-25 22:31:09'),
(599,'1895 Zhezqazghan Drive',DEFAULT,'California',177,36693,137809746111,'2014-09-25 22:33:51'),
(600,'1837 Kaduna Parkway',DEFAULT,'Inner Mongolia',241,82580,640843562301,'2014-09-25 22:30:37'),
(601,'844 Bucuresti Place',DEFAULT,'Liaoning',242,36603,935952366111,'2014-09-25 22:30:37'),
(602,'1101 Bucuresti Boulevard',DEFAULT,'West Greece',401,97661,199514580428,'2014-09-25 22:31:07'),
(603,'1103 Quilmes Boulevard',DEFAULT,'Piura',503,52137,644021380889,'2014-09-25 22:32:34'),
(604,'1331 Usak Boulevard',DEFAULT,'Vaud',296,61960,145308717464,'2014-09-25 22:33:14'),
(605,'1325 Fukuyama Street',DEFAULT,'Heilongjiang',537,27107,288241215394,'2014-09-25 22:30:44'),
